,name,criterion,score,max_depth,random_state,n_estimators,max_samples
0,DecisionTreeClassifier,gini,0.1992,1,10,,
1,DecisionTreeClassifier,entropy,0.1997,1,10,,
2,DecisionTreeClassifier,gini,0.4988,3,10,,
3,DecisionTreeClassifier,entropy,0.5127,3,10,,
4,DecisionTreeClassifier,gini,0.6938,5,10,,
5,DecisionTreeClassifier,entropy,0.7048,5,10,,
6,DecisionTreeClassifier,gini,0.7554,7,10,,
7,DecisionTreeClassifier,entropy,0.7651,7,10,,
8,DecisionTreeClassifier,gini,0.8009,10,10,,
9,DecisionTreeClassifier,entropy,0.8108,10,10,,
0,BaggingClassifier,gini,0.2054,1,10,10.0,0.5
1,BaggingClassifier,gini,0.8272,10,10,10.0,0.5
2,BaggingClassifier,entropy,0.1997,1,10,10.0,0.5
3,BaggingClassifier,entropy,0.8404,10,10,10.0,0.5
4,BaggingClassifier,gini,0.2153,1,10,10.0,1.0
5,BaggingClassifier,gini,0.8314,10,10,10.0,1.0
6,BaggingClassifier,entropy,0.1997,1,10,10.0,1.0
7,BaggingClassifier,entropy,0.8413,10,10,10.0,1.0
8,BaggingClassifier,gini,0.2081,1,10,20.0,0.5
9,BaggingClassifier,gini,0.8318,10,10,20.0,0.5
10,BaggingClassifier,entropy,0.1997,1,10,20.0,0.5
11,BaggingClassifier,entropy,0.8459,10,10,20.0,0.5
12,BaggingClassifier,gini,0.2123,1,10,20.0,1.0
13,BaggingClassifier,gini,0.8329,10,10,20.0,1.0
14,BaggingClassifier,entropy,0.1997,1,10,20.0,1.0
15,BaggingClassifier,entropy,0.8414,10,10,20.0,1.0
0,RandomForestClassifier,gini,0.348,1,10,10.0,0.5
1,RandomForestClassifier,entropy,0.3186,1,10,10.0,0.5
2,RandomForestClassifier,gini,0.8353,10,10,10.0,0.5
3,RandomForestClassifier,entropy,0.8376,10,10,10.0,0.5
4,RandomForestClassifier,gini,0.347,1,10,10.0,
5,RandomForestClassifier,entropy,0.3804,1,10,10.0,
6,RandomForestClassifier,gini,0.8355,10,10,10.0,
7,RandomForestClassifier,entropy,0.8395,10,10,10.0,
8,RandomForestClassifier,gini,0.3427,1,10,20.0,0.5
9,RandomForestClassifier,entropy,0.3242,1,10,20.0,0.5
10,RandomForestClassifier,gini,0.8398,10,10,20.0,0.5
11,RandomForestClassifier,entropy,0.8418,10,10,20.0,0.5
12,RandomForestClassifier,gini,0.3484,1,10,20.0,
13,RandomForestClassifier,entropy,0.3295,1,10,20.0,
14,RandomForestClassifier,gini,0.8421,10,10,20.0,
15,RandomForestClassifier,entropy,0.8473,10,10,20.0,
